,clean_message,intent
0,Hi,Default Welcome Intent
1,suggest some events for tomorrow in Nice,find.event
2,stop,abandon
3,find events in mocaco,find.event
4,Hi,Default Welcome Intent
5,hi,Default Welcome Intent
6,find events in Monaco,find.event
7,november,find.event
8,how about nice,find.alternatives
9,and in cannes,find.alternatives
10,find any activity in monaco,find.activity
11,I'm looking for kids activity in Monaco,find.activity
12,what can kids do in Nice,find.alternatives
13,Hi,Default Welcome Intent
14,in Nice next month an event to find,find.event
15,Hi,Default Welcome Intent
16,Can you give me an hotel nearby railway station,find.accommodation
17,quelle est la meilleure période pour skier à Auron ?,abandon
18,Hi,Default Welcome Intent
19,Hi,Default Welcome Intent
20,find events in nice,find.event
21,november,find.event
22,Hi,Default Welcome Intent
23,eating,Default Fallback Intent
24,i'm hungry,leave.negative
25,fin me a casher restaurant,find.restaurant
26,find me a casher restaurant,find.restaurant
27,find me a restaurant,find.restaurant
28,stop,abandon
29,find me an event nearby me,find.event
30,hi,Default Welcome Intent
31,Hi,Default Welcome Intent
32,Hey how are you,Default Welcome Intent
33,how can you help,Default Fallback Intent
34,?,Default Fallback Intent
35,hi,Default Welcome Intent
36,how can you help,Default Fallback Intent
37,hi,Default Welcome Intent
38,what will be the weather this evening,find.event
39,nice,find.event
40,in monaco,find.alternatives
41,in nice,find.alternatives
42,find sports activity in cannes,find.event
43,this month,find.event
44,find events in NICE and Cannes this november,find.event
45,in weekends,find.alternatives
46,give me a restaurant nearby massena place,find.alternatives
47,find parks in monaco,find.poi
48,give me a vegetarian restaurant in nice,find.restaurant
49,how to go from nice airport to downtown ?,Default Fallback Intent
50,how to go from the airport to downtown,leave.negative
51,in nice,find.alternatives
52,where is the tourist office,Default Fallback Intent
53,where is the post-office,Default Fallback Intent
54,where is the railway station ?,Default Fallback Intent
55,in cannes,find.alternatives
56,do you understand anything ?,abandon
57,find museums in Antibes,find.poi
58,show me an hotel with car park,find.accommodation
59,nice,find.accommodation
60,in cannes,find.alternatives
61,what can i do in NICE,find.alternatives
62,find all events in grass,find.event
63,Hi,Default Welcome Intent
64,grass,find.event
65,st tropez,find.event
66,I would like to visit a museum in Cannes,find.poi
67,in Nice ?,find.alternatives
68,results are piece of shit,abandon
69,find some events in St Tropez,find.event
70,today,find.event
71,tomorrow,find.alternatives
72,asshole,leave.negative
73,next weekend,find.alternatives
74,next month,find.alternatives
75,stop,abandon
76,find some events in Cannes this week,find.event
77,more,find.more
78,find some in events in Cannes this month,find.event
79,more,find.more
80,fuck you,insult
81,thank you,leave.positive
82,see ya,leave.positive
83,any sports match in cannes,find.event
84,ok i would like to do some activities in Antibes this weekend something to propose ? ,find.activity
85,more,find.more
86,what about Nice ?,find.alternatives
87,this weekend,find.event
88,in nice,find.alternatives
89,in st tropez,find.alternatives
90,next month,find.alternatives
91,Im looking for cafe in antibes,find.restaurant
92,in nice,find.alternatives
93,in Juan les pin,Default Fallback Intent
94,juan le pins,Default Fallback Intent
95,find coffee shops in biot,find.restaurant
96,in antibes,find.alternatives
97,in biot,find.alternatives
98,in valbonne,find.alternatives
99,find water sports in antibes,find.event
100,this weekend,find.event
101,next month,find.alternatives
102,in nice,find.alternatives
103,in cannes,find.alternatives
104,in st tropes,Default Fallback Intent
105,hi,Default Welcome Intent
106,find sports events in Nice,find.event
107,this month,find.event
108,in cannes,find.alternatives
109,monaco,find.alternatives
110,check all events in nice,find.event
111,this month,find.event
112,find events in grass,find.event
113,grasse,find.event
114,this month,find.event
115,find some events in Monaco,find.event
116,this week,find.event
117,this month,find.alternatives
118,sports in st tropez,find.alternatives
119,in nice,find.alternatives
120,in eze,find.alternatives
121,in Vence,find.alternatives
122,today,leave.positive
123,find events in grasse,find.event
124,this month,find.event
125,find church in Antibes,find.poi
126,Hi,Default Welcome Intent
127,find wine shops in Antibes,find.shopping
128,in cannes,find.alternatives
129,shops in Antibes,find.shopping
130,in nice,find.alternatives
131,in cannes,find.alternatives
132,find shops in Antibes,find.shopping
133,stop,abandon
134,find shops in Antibes,find.shopping
135,any museum in Cannes?,find.poi
136,and Nice,find.alternatives
137,hi,Default Welcome Intent
138,hi,Default Welcome Intent
139,show events in Nice tomorrow,find.event
140,Hi,Default Welcome Intent
141,Hi,Default Welcome Intent
142,Hi,Default Welcome Intent
143,I'm looking for events in Cannes,find.event
144,this weekend,find.event
145,next weekend,find.alternatives
146,in nice,find.alternatives
147,this month,find.alternatives
148,this weekend,find.alternatives
149,in monaco,find.alternatives
150,this month,find.alternatives
151,show me parks in nice,find.poi
152,in antibes,find.alternatives
153,in biot,find.alternatives
154,museum in grasse,find.poi
155,in nice,find.alternatives
156,in antibes,find.alternatives
157,in cannes,find.alternatives
158,Hi,Default Welcome Intent
159,tell me about events in Cannes this week,find.event
160,find a place to eat near me ,find.event
161,find events near me,find.event
162,today,find.event
163,and in Nice,find.alternatives
164,find a place to eat near me,find.event
165,near me,find.event
166,today,find.event
167,in Vence ?,find.alternatives
168,can you give me some concerts in Cannes this month ? ,find.event
169,find some concerts in Vence this month,find.event
170,show me event in vence this month,find.event
171,i would like to do some wetr based activities in Nice,find.activity
172,stop,abandon
173,any circuit activities to do in Nice ? ,find.activity
174,and some fastfoods ?,Default Fallback Intent
175,find me a fastfood in Nice,find.alternatives
176,stop,abandon
177,find me a burger restaurant in Nice,find.restaurant
178,and around me ?,find.alternatives
179,i would like to do any activities in St Tropez,find.activity
180,and in Vence ,find.alternatives
181,in Puget thénier ?,find.alternatives
182,in Levens ? ,find.alternatives
183,so bad,abandon
184,to do some shopping in Nice,find.alternatives
185,stop,abandon
186,can you propose some shops in Nice ? ,find.shopping
187,to do some shopping in Nice,weather
188,any faschion shops in Cannes ? ,find.shopping
189,more,find.more
190,to do some shopping in Nice,Default Fallback Intent
191,stop,abandon
192,to dos some shopping in Nice,Default Fallback Intent
193,to do some shopping in Nice,Default Fallback Intent
194,Hi,Default Welcome Intent
195,is there any event this week end ?,find.event
196,Auvare,find.event
197,ok thank you,leave.positive
198,find some concerts in Nice this weekend,find.event
199,Hi,Default Welcome Intent
200,Hi,Default Welcome Intent
201,Hi,Default Welcome Intent
202,Hi,Default Welcome Intent
203,Hi minotour,Default Welcome Intent
204,yes i'm bored,find.activity
205,i want to go to paris,find.activity
206,i want to go there,find.activity
207,sorry,find.activity
208,yes,find.activity
209,nul part,find.activity
210,i would like to do some shopping in Nice,Default Fallback Intent
211,shopping in Nice,weather
212,is there an ATm around me ? ,Default Fallback Intent
213,local business next to me,Default Fallback Intent
214,find me a room in Cannes please,find.accommodation
215,I'm comming to Nice next week and I want to be informed about cultural events during that period,find.event
216,and a restaurant close to me ? ,find.alternatives
217,and I want to eat local food !,find.event
218,Nice,find.event
219,next week,find.event
220,Hi,Default Welcome Intent
221,Hi,Default Welcome Intent
222,hello,Default Welcome Intent
223,nothing,abandon
224,nothing,abandon
225,nothing,abandon
226,sure,Default Fallback Intent
227,Hi,Default Welcome Intent
228,Hi,Default Welcome Intent
229,Hi,Default Welcome Intent
230,Hi,Default Welcome Intent
231,Hi,Default Welcome Intent
232,do you speak french?,Default Fallback Intent
233,Hi,Default Welcome Intent
234,do you speak french ?,Default Fallback Intent
235,hello,Default Welcome Intent
236,what types of concerts do you have ?,find.event
237,Hi,Default Welcome Intent
238,Paris ,find.event
239,find the closest hotel,find.accommodation
240,paris,find.accommodation
241,what city ?,find.accommodation
242,Hi,Default Welcome Intent
243,you tell me,find.accommodation
244,Paris ,find.event
245,Hi,Default Welcome Intent
246,hello,Default Welcome Intent
247,nice,find.accommodation
248,reboot,abandon
249,concerts in nice,find.event
250,i need a nice place to spend the weekend,find.event
251,nice,find.event
252,Hello,Default Welcome Intent
253,Sousse,find.event
254,15h,find.event
255,concerts ,find.event
256,want to know all concerts ,find.event
257,paris ,find.event
258,give me the list of categories,abandon
259,paris,find.event
260,19h,find.alternatives
261,berlin ,find.event
262,france,find.event
263,nice,find.event
264,alla the day,Default Fallback Intent
265,Nice,find.event
266,i want to book a room in hotel,find.accommodation
267,Paris,find.event
268,all the day,find.more
269,Hi,Default Welcome Intent
270,today,find.event
271,Nice,find.event
272,today,find.event
273,in Paris,find.accommodation
274,the next week,find.alternatives
275,Hi,Default Welcome Intent
276,okay  i want to know to incoming concerts in Nice ,find.event
277,what's the date of the next concert in nice,find.event
278,starting from today,find.event
279,music,find.event
280,paris,find.event
281,i do not know exactly,find.event
282,paris,find.event
283,paris,find.event
284,the nex month,find.alternatives
285,Hi,Default Welcome Intent
286,Hi,Default Welcome Intent
287,cote d'azur,find.accommodation
288,I already noticed that I will come to Nice next week so don't ask me about it again !!,find.activity
289,where are you from,Default Fallback Intent
290,events,find.event
291,cote d'azur,find.event
292,monaco,find.event
